3
Carlos rojo
Juan azul
Pedro verde
1.1 rojo 3
1.2 rojo 2
1.3 rojo 3
1.4 rojo 2
1.5 rojo 3
1.6 rojo 2
1.7 rojo 3
1.8 rojo 2
1.9 rojo 3
2.1 rojo 2
2.2 rojo 3
2.3 rojo 2
2.4 rojo 3
3.1 rojo 2
3.2 azul 3
3.3 azul 2
3.4 azul 3
3.5 azul 2
3.6 azul 3
3.7 azul 2
4.1 azul 3
4.2 azul 2
4.3 azul 3
4.4 azul 2
4.5 azul 3
4.6 azul 2
5.1 azul 3
5.2 azul 2
5.3 verde 3
5.4 verde 2
5.5 verde 3
5.6 verde 2
5.7 verde 3
5.8 verde 2
5.9 verde 3
5.10 verde 2
5.11 verde 3
5.12 verde 2
6.1 verde 3
6.2 verde 2
6.3 verde 3
6.4 verde 2
